file,category,keep,t_sec,peak_db,rms_db,centroid_hz,flatness,decay_ms
Clap with hands - Keep.m4a,clap,True,0.832,-22.03,-38.38,6587.8,0.544,170.7
Clap with hands - Keep.m4a,clap,True,0.896,-31.89,-42.72,4003.5,0.236,170.7
Clap with hands - Keep.m4a,clap,True,0.960,-38.40,-49.83,3814.5,0.219,200.0
Clap with hands - Keep.m4a,clap,True,1.429,-40.99,-51.67,3289.6,0.245,200.0
Clap with hands - Keep.m4a,clap,True,1.813,2.72,-11.38,4759.2,0.396,21.3
Clap with hands - Keep.m4a,clap,True,1.877,-20.76,-30.83,3763.9,0.165,128.0
Clap with hands - Keep.m4a,clap,True,1.941,-28.19,-37.60,3425.0,0.128,149.3
Clap with hands - Keep.m4a,clap,True,2.005,-33.49,-42.97,3213.6,0.119,192.0
Clap with hands - Keep.m4a,clap,True,2.069,-38.33,-48.68,3659.0,0.171,200.0
Clap with hands - Keep.m4a,clap,True,2.731,-8.77,-31.14,6417.0,0.529,106.7
Clap with hands - Keep.m4a,clap,True,2.795,-31.19,-40.47,4086.2,0.234,128.0
Clap with hands - Keep.m4a,clap,True,2.859,-35.82,-45.78,3371.9,0.197,192.0
Clap with hands - Keep.m4a,clap,True,3.627,1.44,-17.80,4137.7,0.326,21.3
Clap with hands - Keep.m4a,clap,True,3.691,-28.06,-38.02,3678.9,0.178,128.0
Clap with hands - Keep.m4a,clap,True,3.755,-30.94,-43.95,3315.4,0.157,170.7
Clap with hands - Keep.m4a,clap,True,3.819,-40.55,-50.20,3441.4,0.199,200.0
Clap with hands - Keep.m4a,clap,True,4.523,-9.80,-28.46,5136.3,0.429,42.7
Clap with hands - Keep.m4a,clap,True,4.587,-37.26,-46.82,4015.8,0.282,200.0
Clap with hands - Keep.m4a,clap,True,4.651,-43.52,-52.82,3371.3,0.224,200.0
Clap with hands - Keep.m4a,clap,True,5.461,1.57,-13.57,6282.7,0.506,21.3
Clap with hands - Keep.m4a,clap,True,5.525,-23.67,-33.74,4480.8,0.214,128.0
